Tiempo	Ca	Cb	Cc	Cd	P_Estimador	q	qc	T	T0	Tc	Tc0
0.0	0.137928	1.00075	0.020432	0.096357	2976.9682629999998	1.36123	8.086606	20.837401999999997	20.928955	19.464111	19.342041000000002
0.08333333333333333	0.138154	1.0293700000000001	0.02169	0.099289	2964.947488	1.386279	8.057101	20.837401999999997	20.86792	19.311523	19.281006
0.16666666666666666	0.13855	1.0576889999999999	0.022976	0.102204	2978.410261	1.360303	9.561826	20.898438	20.928955	19.342041000000002	19.158935999999997
0.25	0.138432	1.085935	0.0243	0.10512	2964.452868	1.363086	8.38165	20.837401999999997	20.837401999999997	19.0979	19.036865
0.3333333333333333	0.13861700000000002	1.113665	0.025639999999999996	0.107985	2972.372755	1.36958	8.433283	20.715332	20.776367	19.0979	18.97583
0.4166666666666666	0.139174	1.140793	0.026983	0.110792	2982.697423	1.362158	9.222525	20.898438	20.654297	19.036865	18.884276999999997
0.5	0.138969	1.168137	0.028377999999999997	0.113641	3023.441157	1.378857	8.315265	20.806885	20.837401999999997	18.914795	18.914795
0.5833333333333333	0.13890999999999998	1.194964	0.029786	0.116432	2967.868714	1.365869	8.300512	20.806885	20.623779000000003	19.036865	18.731689000000003
0.6666666666666666	0.13888399999999998	1.2215850000000001	0.031226999999999998	0.119208	2991.534374	1.3547360000000002	8.366897999999999	20.684814000000003	20.562744	19.0979	18.701172
0.75	0.139068	1.2476770000000001	0.032675	0.121929	2984.9765390000002	1.366797	8.507044	20.715332	20.593262	19.036865	18.640137
0.8333333333333334	0.13913399999999998	1.2736319999999999	0.034152999999999996	0.124646	3018.262911	1.4057620000000002	8.359522	20.471191	20.471191	19.067383	18.670654000000003
0.9166666666666669	0.139691	1.29911	0.035638	0.127325	3021.174155	1.362158	8.079229	20.654297	20.410156	19.036865	18.640137
1.0	0.139853	1.324462	0.037149	0.129998	3013.829645	1.34917	8.802088000000001	20.654297	20.410156	19.006348000000003	18.640137
1.0833333333333333	0.13861400000000001	1.350415	0.038742	0.132758	3353.7586690000003	1.36958	8.942233	20.623779000000003	20.013428	18.97583	18.609619
1.1666666666666663	0.139093	1.374892	0.040288	0.135323	2992.848511	1.344531	8.794711	20.684814000000003	20.318604	18.914795	18.457031
1.2499999999999998	0.138991	1.3993440000000001	0.041862	0.13789500000000002	2971.611568	1.203516	8.566052	20.593262	20.410156	18.914795	18.548583999999998
1.333333333333333	0.144021	1.422056	0.043397000000000005	0.140315	3125.218039	1.416895	8.300512	20.532227	20.257568	18.884276999999997	18.426514
1.4166666666666663	0.14277	1.446956	0.044987	0.143062	3088.225166	1.476269	8.477539	20.623779000000003	20.043945	18.85376	18.395996
1.4999999999999996	0.146858	1.470102	0.046532	0.14566800000000002	3174.069396	1.5477049999999999	7.821066	20.562744	20.196533	18.823242	18.395996
1.5833333333333328	0.142985	1.495465	0.048169	0.14851	3084.406877	1.3807129999999999	8.322641	20.471191	20.043945	18.85376	18.426514
1.666666666666666	0.146551	1.518071	0.049747	0.151051	3148.715592	1.413184	8.448034	20.501708999999998	20.043945	18.762207	18.426514
1.7499999999999991	0.14313	1.542414	0.051414999999999995	0.15373699999999998	3071.2370100000003	1.6590330000000002	8.728327	20.501708999999998	20.104979999999998	18.884276999999997	18.457031
1.8333333333333328	0.147761	1.564309	0.052997	0.156253	3208.0085870000003	1.255469	8.706197999999999	20.379639	19.952393	18.792725	18.395996
1.9166666666666656	0.147058	1.587674	0.054667999999999994	0.158909	3192.360939	1.606152	8.41853	20.410156	20.043945	18.823242	18.548583999999998
1.9999999999999991	0.14999400000000002	1.609887	0.056273000000000004	0.16153599999999999	3255.635829	1.367725	8.152989999999999	20.501708999999998	20.043945	18.701172	18.395996
2.0833333333333326	0.1447	1.634066	0.057994000000000004	0.164272	3114.07817	1.6274899999999999	9.451184	20.379639	19.952393	18.792725	18.334961
2.166666666666666	0.150086	1.6546759999999998	0.059601	0.166696	3200.840848	1.4818360000000002	8.816839	20.440673999999998	19.98291	18.823242	18.243408
2.25	0.146121	1.678377	0.061339	0.169459	3155.383021	1.285156	7.924332000000001	20.501708999999998	20.623779000000003	18.884276999999997	18.334961
2.333333333333333	0.134183	1.703428	0.06325800000000001	0.17211500000000002	2877.425297	1.6859380000000002	9.856869999999999	20.532227	20.166016	18.670654000000003	18.182373000000002
2.4166666666666665	0.140743	1.721716	0.064971	0.174059	3096.493752	1.3640139999999998	9.008617999999998	20.684814000000003	20.135498000000002	18.670654000000003	18.182373000000002
2.5	0.13934000000000002	1.742995	0.066827	0.17635399999999998	3092.130962	1.446582	8.868472	20.837401999999997	19.921875	18.823242	18.151854999999998
2.583333333333333	0.143569	1.76242	0.068629	0.17852200000000001	3228.369234	1.514307	8.440659	20.928955	19.98291	18.85376	18.151854999999998
2.666666666666667	0.143946	1.783375	0.070515	0.180898	3272.0290019999998	1.486475	9.104507	21.569824	19.921875	18.823242	18.243408
2.7500000000000004	0.14028800000000002	1.805909	0.072519	0.183462	3215.142228	1.198877	8.448034	21.325684	19.952393	18.85376	18.212891
2.833333333333334	0.14031400000000002	1.8262669999999999	0.074522	0.18567999999999998	3256.959425	1.6766599999999998	8.352145	21.386719	19.86084	18.945313	19.036865
2.9166666666666674	0.14299800000000001	1.8461560000000001	0.076501	0.18798399999999998	3413.326453	1.426172	8.440659	21.600342	19.98291	18.97583	18.182373000000002
3.0000000000000013	0.135848	1.869592	0.07873200000000001	0.190604	3224.93635	1.347314	9.32579	22.546387	19.86084	18.823242	18.09082
